"userid","artistid","weight","tagid"
439,271,762,3542
439,271,762,3541
439,271,762,3538
439,271,762,3537
439,271,762,228
439,271,762,285
439,271,762,287
439,271,762,92
771,271,53,5378
771,271,53,71
771,271,53,5380
771,271,53,5395
771,271,53,5394
771,271,53,304
771,271,53,5370
771,271,53,102
771,271,53,5397
771,271,53,5374
771,271,53,5386
771,271,53,5368
771,271,53,5376
822,271,1573,NULL
1005,271,895,NULL
1076,271,131,NULL
1082,271,392,NULL
1579,271,435,NULL
1694,271,464,NULL
1991,271,51,NULL
6,272,15,NULL
836,272,34,NULL
924,272,125,NULL
6,273,15,NULL
924,273,243,NULL
1113,273,100,NULL
1116,273,22,NULL
6,274,15,NULL
6,275,14,NULL
1248,275,102,NULL
6,276,14,NULL
55,276,761,NULL
81,276,125,NULL
116,276,145,NULL
234,276,1586,NULL
382,276,685,NULL
439,276,669,3538
439,276,669,3537
439,276,669,527
439,276,669,1911
439,276,669,3242
439,276,669,3544
439,276,669,3550
439,276,669,3551
439,276,669,3552
439,276,669,3541
602,276,211,NULL
664,276,442,NULL
855,276,3661,NULL
957,276,671,NULL
1005,276,307,NULL
1382,276,338,NULL
1990,276,37,NULL
6,277,14,NULL
6,278,14,NULL
43,278,121,NULL
55,278,481,NULL
81,278,147,NULL
100,278,72,NULL
213,278,502,NULL
411,278,79,NULL
439,278,1226,702
439,278,1226,3559
439,278,1226,3551
439,278,1226,3549
439,278,1226,3547
439,278,1226,3542
439,278,1226,3541
439,278,1226,3539
439,278,1226,3538
439,278,1226,3537
439,278,1226,3536
439,278,1226,1911
439,278,1226,1722
439,278,1226,527
439,278,1226,370
439,278,1226,228
439,278,1226,197
439,278,1226,103
439,278,1226,102
439,278,1226,92
439,278,1226,3534
439,278,1226,2511
570,278,254,NULL
573,278,58,NULL
685,278,1001,4885
685,278,1001,197
685,278,1001,103
685,278,1001,102
704,278,35,NULL
736,278,299,NULL
751,278,62,197
751,278,62,102
751,278,62,103
751,278,62,304
771,278,46,NULL
789,278,2190,NULL
854,278,72,NULL
921,278,1612,6162
957,278,1698,NULL
1382,278,383,NULL
1507,278,14,NULL
1662,278,780,10363
1662,278,780,1368
1662,278,780,3970
1662,278,780,702
1662,278,780,527
1662,278,780,3310
1662,278,780,2700
1662,278,780,1911
1662,278,780,20
1662,278,780,13
1662,278,780,10362
1694,278,1278,NULL
1699,278,103,NULL
1740,278,1109,NULL
1890,278,130,11563
1890,278,130,4885
1897,278,572,NULL
1912,278,162,NULL
1954,278,101,NULL
2030,278,212,102
2030,278,212,197
6,279,14,NULL
159,279,3619,640
159,279,3619,231
159,279,3619,167
159,279,3619,130
159,279,3619,134
159,279,3619,238
159,279,3619,102
159,279,3619,625
332,279,155,NULL
361,279,210,NULL
387,279,31594,73
387,279,31594,39
387,279,31594,24
387,279,31594,18
387,279,31594,3177
387,279,31594,3176
387,279,31594,3175
387,279,31594,3174
387,279,31594,1734
387,279,31594,1087
387,279,31594,824
387,279,31594,706
387,279,31594,701
387,279,31594,689
387,279,31594,641
387,279,31594,640
387,279,31594,625
387,279,31594,526
387,279,31594,481
387,279,31594,352
387,279,31594,238
387,279,31594,231
387,279,31594,216
387,279,31594,210
387,279,31594,167
387,279,31594,134
387,279,31594,130
387,279,31594,102
387,279,31594,49
387,279,31594,3187
387,279,31594,3186
387,279,31594,3185
387,279,31594,3184
387,279,31594,3183
387,279,31594,3182
387,279,31594,3181
387,279,31594,3180
387,279,31594,3179
387,279,31594,3178
405,279,1162,238
405,279,1162,102
405,279,1162,625
405,279,1162,640
405,279,1162,130
405,279,1162,167
417,279,216,NULL
419,279,7,NULL
498,279,984,NULL
561,279,3899,NULL
621,279,3353,NULL
698,279,1441,24
713,279,196,NULL
778,279,19385,5430
778,279,19385,5431
778,279,19385,706
778,279,19385,5428
778,279,19385,781
778,279,19385,3174
778,279,19385,5429
778,279,19385,231
789,279,407,NULL
873,279,194,NULL
910,279,1616,NULL
916,279,410,24
916,279,410,167
916,279,410,49
924,279,117,NULL
1002,279,85,NULL
1027,279,1815,NULL
1113,279,82,NULL
1120,279,33,NULL
1180,279,34,NULL
1222,279,558,7938
1311,279,123,NULL
1517,279,752,NULL
1555,279,274,NULL
1572,279,363,NULL
1578,279,77,NULL
1580,279,170,NULL
1593,279,502,NULL
1616,279,110,NULL
1791,279,331,NULL
1946,279,529,NULL
2061,279,11,NULL
2088,279,6,NULL
6,280,14,NULL
6,281,14,NULL
6,282,14,NULL
1401,282,668,NULL
6,283,14,NULL
48,283,122,432
48,283,122,707
48,283,122,130
48,283,122,694
48,283,122,693
48,283,122,688
68,283,63,NULL
121,283,62,NULL
147,283,164,NULL
150,283,40,NULL
151,283,329,NULL
244,283,105,NULL
256,283,8991,NULL
285,283,171,NULL
301,283,256,NULL
326,283,183,508
326,283,183,693
326,283,183,1753
326,283,183,2103
335,283,826,NULL
361,283,653,NULL
414,283,1562,209
414,283,1562,823
414,283,1562,130
414,283,1562,39
414,283,1562,432
414,283,1562,693
414,283,1562,636
495,283,66,NULL
501,283,121,NULL
569,283,155,NULL
589,283,13,NULL
678,283,62,NULL
703,283,6,NULL
735,283,75,NULL
739,283,125,NULL
760,283,332,NULL
830,283,238,NULL
963,283,31,NULL
985,283,830,693
1055,283,58,NULL
1069,283,203,NULL
1072,283,223,NULL
1248,283,283,NULL
1253,283,262,508
1253,283,262,1554
1253,283,262,8111
1253,283,262,8110
1253,283,262,693
1263,283,2130,NULL
1440,283,620,4052
1440,283,620,693
1440,283,620,130
1440,283,620,432
1440,283,620,406
1471,283,349,NULL
1811,283,221,NULL
1906,283,136,NULL
2076,283,582,NULL
6,284,13,NULL
1694,284,460,NULL
6,285,13,NULL
24,285,586,NULL
64,285,320,NULL
68,285,96,NULL
72,285,23,NULL
79,285,23,NULL
87,285,85,NULL
130,285,197,NULL
144,285,372,1577
214,285,566,NULL
232,285,26059,210
232,285,26059,39
232,285,26059,24
232,285,26059,200
232,285,26059,167
232,285,26059,130
232,285,26059,238
232,285,26059,216
232,285,26059,208
232,285,26059,209
232,285,26059,1074
232,285,26059,639
232,285,26059,625
232,285,26059,508
232,285,26059,481
232,285,26059,447
232,285,26059,352
232,285,26059,346
242,285,328,NULL
260,285,576,NULL
286,285,133,NULL
329,285,2352,NULL
338,285,297,NULL
353,285,3,NULL
361,285,335,NULL
378,285,5143,209
378,285,5143,25
378,285,5143,39
378,285,5143,73
378,285,5143,85
378,285,5143,639
378,285,5143,625
378,285,5143,527
378,285,5143,509
378,285,5143,352
378,285,5143,238
378,285,5143,210
378,285,5143,167
378,285,5143,134
378,285,5143,130
380,285,3089,364
380,285,3089,24
380,285,3089,130
380,285,3089,167
405,285,11477,130
405,285,11477,24
405,285,11477,39
405,285,11477,49
405,285,11477,73
405,285,11477,85
405,285,11477,1447
405,285,11477,3252
405,285,11477,13
405,285,11477,3254
405,285,11477,3255
405,285,11477,102
405,285,11477,103
405,285,11477,1268
405,285,11477,844
405,285,11477,640
405,285,11477,3256
405,285,11477,3258
405,285,11477,625
405,285,11477,2726
405,285,11477,1492
405,285,11477,508
405,285,11477,238
405,285,11477,233
405,285,11477,167
417,285,373,NULL
419,285,7,NULL
477,285,269,NULL
479,285,2246,NULL
486,285,125,NULL
495,285,31,NULL
498,285,1074,1632
498,285,1074,3881
510,285,77,NULL
632,285,464,NULL
638,285,191,NULL
659,285,1256,NULL
679,285,289,NULL
690,285,739,NULL
702,285,685,NULL
713,285,1362,NULL
778,285,4589,NULL
793,285,388,NULL
795,285,236,NULL
801,285,12,NULL
819,285,203,NULL
836,285,63,NULL
858,285,552,NULL
873,285,655,NULL
885,285,325,NULL
898,285,452,NULL
910,285,791,NULL
955,285,2380,130
955,285,2380,625
955,285,2380,167
955,285,2380,352
965,285,1349,NULL
985,285,1703,24
1027,285,971,NULL
1104,285,193,24
1104,285,193,130
1109,285,243,NULL
1120,285,1843,73
1137,285,94,NULL
1186,285,427,NULL
1222,285,761,NULL
1291,285,92,NULL
1308,285,20393,NULL
1435,285,1083,NULL
1445,285,336,167
1445,285,336,24
1445,285,336,346
1445,285,336,130
1453,285,144,NULL
1466,285,255,234
1466,285,255,49
1466,285,255,216
1466,285,255,24
1466,285,255,346
1466,285,255,167
1475,285,16,NULL
1555,285,531,NULL
1572,285,1611,130
1572,285,1611,167
1572,285,1611,238
1572,285,1611,24
1572,285,1611,508
1572,285,1611,39
1580,285,241,NULL
1585,285,2222,371
1590,285,1818,NULL
1593,285,306,NULL
1621,285,83,NULL
1662,285,187,NULL
1726,285,252,NULL
1734,285,540,NULL
1761,285,68,NULL
1766,285,80,NULL
1791,285,200,NULL
1795,285,345,167
1795,285,345,24
1795,285,345,625
1799,285,434,NULL
1828,285,782,NULL
1838,285,1279,39
1838,285,1279,238
1838,285,1279,200
1838,285,1279,11272
1850,285,167,NULL
1869,285,4776,792
1869,285,4776,49
1869,285,4776,39
1869,285,4776,25
1869,285,4776,24
1869,285,4776,11463
1869,285,4776,11458
1869,285,4776,3187
1869,285,4776,1870
1869,285,4776,85
1869,285,4776,130
1869,285,4776,1092
1869,285,4776,346
1869,285,4776,505
1869,285,4776,1031
1895,285,367,39
1895,285,367,24
1903,285,139,NULL
1965,285,549,1086
1965,285,549,640
1965,285,549,39
1965,285,549,25
1973,285,1151,9745
1973,285,1151,12022
1983,285,198,NULL
2037,285,239,NULL
2071,285,281,NULL
2088,285,9,NULL
6,286,13,NULL
294,286,178,NULL
340,286,243,311
1062,286,36,1418
1062,286,36,6991
1697,286,534,NULL
6,287,13,NULL
387,287,4438,216
387,287,4438,231
387,287,4438,352
387,287,4438,640
387,287,4438,3182
387,287,4438,3184
387,287,4438,3185
387,287,4438,3186
387,287,4438,3187
387,287,4438,3177
387,287,4438,3181
387,287,4438,3180
387,287,4438,49
387,287,4438,167
387,287,4438,210
387,287,4438,3179
387,287,4438,3178
387,287,4438,701
387,287,4438,3174
924,287,164,NULL
1002,287,92,NULL
1311,287,208,3185
1533,287,3300,NULL
1616,287,181,625
1616,287,181,640
1616,287,181,352
1616,287,181,167
1616,287,181,130
1965,287,234,NULL
7,288,43864,127
7,288,43864,128
8,288,428,NULL
11,288,749,NULL
12,288,3072,24
12,288,3072,167
12,288,3072,39
17,288,129,NULL
21,288,474,NULL
24,288,677,NULL
25,288,208,NULL
29,288,42,NULL
30,288,203,NULL
38,288,7,NULL
42,288,251,NULL
45,288,6497,130
45,288,6497,24
45,288,6497,18
45,288,6497,637
45,288,6497,39
46,288,31427,663
46,288,31427,672
46,288,31427,674
46,288,31427,675
46,288,31427,678
46,288,31427,679
46,288,31427,682
46,288,31427,681
46,288,31427,213
46,288,31427,234
46,288,31427,508
46,288,31427,632
46,288,31427,662
46,288,31427,671
46,288,31427,680
46,288,31427,18
46,288,31427,24
46,288,31427,39
46,288,31427,49
46,288,31427,103
46,288,31427,130
46,288,31427,167
46,288,31427,199
47,288,1194,304
48,288,13,NULL
49,288,124,24
49,288,124,719
49,288,124,39
49,288,124,130
49,288,124,167
53,288,1620,NULL
54,288,118,NULL
57,288,179,NULL
58,288,5,NULL
68,288,603,NULL
75,288,848,NULL
79,288,95,NULL
87,288,20,NULL
92,288,6,NULL
95,288,587,NULL
96,288,14,NULL
98,288,177,NULL
110,288,6955,1294
110,288,6955,1293
110,288,6955,1292
110,288,6955,1291
110,288,6955,213
110,288,6955,130
110,288,6955,1298
110,288,6955,1297
110,288,6955,1295
120,288,102,NULL
121,288,381,NULL
126,288,432,NULL
129,288,953,NULL
130,288,868,NULL
132,288,3310,NULL
133,288,442,24
134,288,1600,NULL
135,288,581,NULL
136,288,483,228
136,288,483,1490
136,288,483,1489
136,288,483,839
144,288,938,NULL
145,288,801,NULL
146,288,23830,NULL
147,288,971,167
150,288,61,NULL
159,288,961,39
159,288,961,24
159,288,961,238
159,288,961,231
159,288,961,167
159,288,961,56
159,288,961,839
171,288,67,130
171,288,67,167
171,288,67,24
171,288,67,39
171,288,67,102
179,288,162,NULL
186,288,46,NULL
209,288,306,NULL
210,288,111,NULL
214,288,280,NULL
223,288,2517,NULL
226,288,18539,850
226,288,18539,632
226,288,18539,2219
227,288,1575,NULL
229,288,9,319
229,288,9,304
229,288,9,167
229,288,9,130
230,288,609,NULL
231,288,1706,NULL
232,288,5062,346
232,288,5062,238
232,288,5062,167
232,288,5062,130
232,288,5062,24
233,288,563,NULL
236,288,4769,824
236,288,4769,730
236,288,4769,508
236,288,4769,238
236,288,4769,234
236,288,4769,24
236,288,4769,39
236,288,4769,49
236,288,4769,109
236,288,4769,167
236,288,4769,130
236,288,4769,213
236,288,4769,231
236,288,4769,2278
236,288,4769,839
240,288,318,102
240,288,318,238
240,288,318,483
240,288,318,18
240,288,318,24
240,288,318,39
240,288,318,213
240,288,318,130
240,288,318,1735
240,288,318,625
240,288,318,508
240,288,318,200
240,288,318,206
242,288,607,NULL
243,288,318,NULL
244,288,139,NULL
248,288,1315,128
248,288,1315,483
248,288,1315,632
248,288,1315,793
248,288,1315,1212
248,288,1315,2346
248,288,1315,2347
248,288,1315,2350
248,288,1315,24
248,288,1315,206
248,288,1315,130
252,288,1294,NULL
253,288,1411,NULL
256,288,4882,NULL
258,288,26,NULL
267,288,334,NULL
271,288,2538,NULL
286,288,520,NULL
301,288,286,NULL
302,288,718,NULL
305,288,1176,NULL
310,288,202,NULL
322,288,15832,NULL
326,288,283,825
327,288,1291,NULL
329,288,2247,1319
329,288,2247,2463
333,288,139,NULL
335,288,423,NULL
338,288,437,NULL
339,288,3591,NULL
340,288,631,NULL
348,288,28,219
350,288,1269,NULL
352,288,302,24
353,288,43,NULL
354,288,13,NULL
355,288,861,NULL
361,288,823,3067
361,288,823,230
361,288,823,3068
375,288,144,NULL
380,288,4913,167
380,288,4913,130
380,288,4913,39
380,288,4913,24
380,288,4913,364
385,288,683,NULL
387,288,2985,3177
387,288,2985,701
387,288,2985,689
387,288,2985,238
387,288,2985,167
387,288,2985,3187
387,288,2985,3186
387,288,2985,3185
387,288,2985,1087
387,288,2985,3183
387,288,2985,3182
387,288,2985,3180
387,288,2985,3179
387,288,2985,3178
390,288,6750,NULL
392,288,169,232
392,288,169,73
392,288,169,39
392,288,169,24
392,288,169,354
392,288,169,3216
392,288,169,231
399,288,11180,NULL
400,288,427,NULL
403,288,515,39
403,288,515,203
403,288,515,483
403,288,515,640
403,288,515,1735
403,288,515,24
403,288,515,103
405,288,903,3253
405,288,903,102
405,288,903,49
405,288,903,625
405,288,903,508
405,288,903,311
405,288,903,167
405,288,903,231
405,288,903,640
405,288,903,1492
413,288,243,NULL
414,288,3519,NULL
415,288,645,NULL
417,288,780,228
417,288,780,204
417,288,780,508
417,288,780,3359
417,288,780,3365
419,288,23,NULL
421,288,2718,3416
421,288,2718,632
421,288,2718,24
425,288,190,NULL
437,288,141,NULL
451,288,5028,NULL
456,288,44,NULL
458,288,64,NULL
466,288,376,NULL
470,288,2063,238
470,288,2063,39
470,288,2063,24
470,288,2063,18
470,288,2063,102
470,288,2063,210
470,288,2063,200
470,288,2063,216
470,288,2063,483
470,288,2063,206
470,288,2063,130
470,288,2063,234
470,288,2063,167
470,288,2063,3181
470,288,2063,625
470,288,2063,509
470,288,2063,508
472,288,1087,130
473,288,312,NULL
477,288,898,NULL
479,288,3740,NULL
486,288,254,NULL
495,288,188,NULL
497,288,4383,NULL
498,288,3314,NULL
501,288,273,NULL
502,288,1759,NULL
503,288,188,NULL
504,288,94,NULL
510,288,45,167
510,288,45,130
514,288,1036,NULL
518,288,1419,NULL
527,288,810,NULL
531,288,877,NULL
534,288,1069,NULL
536,288,138,NULL
537,288,516,NULL
538,288,2327,NULL
539,288,90,NULL
545,288,327,49
545,288,327,167
545,288,327,231
545,288,327,508
545,288,327,839
551,288,42,NULL
553,288,38,NULL
555,288,226,NULL
562,288,212,NULL
568,288,267,NULL
569,288,487,24
570,288,187,NULL
571,288,1388,NULL
572,288,271,NULL
575,288,932,NULL
581,288,735,NULL
589,288,89,NULL
590,288,225,NULL
593,288,260,NULL
598,288,715,NULL
604,288,2156,24
604,288,2156,308
604,288,2156,130
604,288,2156,4301
609,288,1204,24
609,288,1204,130
612,288,587,200
612,288,587,232
612,288,587,4452
612,288,587,311
612,288,587,719
617,288,286,NULL
620,288,836,39
621,288,4464,NULL
632,288,1584,NULL
636,288,479,49
638,288,1504,NULL
643,288,128,NULL
646,288,569,730
646,288,569,18
646,288,569,167
646,288,569,206
646,288,569,228
646,288,569,232
646,288,569,640
646,288,569,4621
646,288,569,4283
646,288,569,989
646,288,569,304
646,288,569,354
646,288,569,508
650,288,188,NULL
651,288,161,NULL
655,288,9,NULL
659,288,714,NULL
667,288,779,NULL
669,288,1672,NULL
674,288,552,NULL
675,288,1041,NULL
679,288,446,NULL
680,288,1619,NULL
682,288,494,NULL
684,288,31229,NULL
688,288,134,NULL
689,288,70,632
690,288,1537,NULL
691,288,2223,NULL
698,288,774,NULL
700,288,2565,NULL
701,288,1408,NULL
702,288,5238,NULL
703,288,1570,632
703,288,1570,4976
713,288,3268,NULL
717,288,251,5049
717,288,251,130
717,288,251,238
722,288,953,NULL
723,288,1353,NULL
726,288,5,NULL
730,288,734,NULL
732,288,839,NULL
736,288,3175,NULL
744,288,112,NULL
749,288,1047,NULL
757,288,31800,NULL
770,288,1391,NULL
778,288,1850,NULL
781,288,769,NULL
790,288,430,NULL
793,288,1047,NULL
795,288,1958,NULL
804,288,1468,NULL
808,288,652,NULL
809,288,1938,NULL
814,288,411,24
814,288,411,130
815,288,28004,508
815,288,28004,5652
815,288,28004,2700
815,288,28004,831
815,288,28004,632
815,288,28004,364
815,288,28004,234
815,288,28004,231
815,288,28004,208
815,288,28004,167
815,288,28004,128
815,288,28004,24
816,288,31,632
816,288,31,24
816,288,31,238
816,288,31,3568
819,288,958,NULL
830,288,615,NULL
847,288,111,NULL
851,288,5698,NULL
852,288,341,NULL
858,288,412,NULL
859,288,210,167
859,288,210,5878
859,288,210,18
862,288,242,NULL
873,288,1860,NULL
875,288,390,NULL
878,288,324,NULL
882,288,33278,39
882,288,33278,1186
882,288,33278,24
882,288,33278,167
882,288,33278,1455
882,288,33278,5972
884,288,453,NULL
885,288,1525,NULL
898,288,438,NULL
905,288,522,6104
905,288,522,39
905,288,522,24
910,288,2014,NULL
911,288,759,NULL
916,288,1414,167
916,288,1414,24
916,288,1414,39
916,288,1414,49
930,288,495,NULL
942,288,1,NULL
953,288,46,NULL
958,288,81,NULL
965,288,1401,NULL
966,288,3422,NULL
975,288,925,NULL
984,288,19833,24
985,288,6461,24
987,288,1301,NULL
995,288,241,NULL
998,288,132,NULL
1002,288,165,NULL
1014,288,1,NULL
1017,288,516,NULL
1023,288,260,NULL
1027,288,2922,NULL
1033,288,6235,NULL
1034,288,175,NULL
1039,288,370,NULL
1046,288,615,NULL
1053,288,1456,NULL
1056,288,644,NULL
1057,288,703,NULL
1058,288,353,130
1065,288,33,NULL
1069,288,1226,NULL
1071,288,2355,NULL
1072,288,574,NULL
1080,288,951,208
1082,288,341,NULL
1092,288,1652,NULL
1097,288,896,NULL
1102,288,88,NULL
1106,288,2002,NULL
1109,288,1800,NULL
1113,288,279,NULL
1120,288,891,NULL
1122,288,39,NULL
1124,288,2433,NULL
1128,288,1031,130
1128,288,1031,167
1128,288,1031,24
1128,288,1031,39
1131,288,71,NULL
1132,288,3532,NULL
1135,288,1879,NULL
1136,288,234,NULL
1137,288,226,346
1139,288,949,NULL
1145,288,88,NULL
1171,288,183,511
1171,288,183,238
1171,288,183,231
1171,288,183,346
1179,288,285,NULL
1180,288,120,NULL
1184,288,122,NULL
1186,288,1382,NULL
1188,288,1643,NULL
1189,288,1068,NULL
1197,288,206,NULL
1198,288,184,102
1198,288,184,167
1198,288,184,24
1198,288,184,39
1226,288,168,NULL
1229,288,180,NULL
1233,288,405,NULL
1234,288,480,NULL
1237,288,236,NULL
1247,288,1244,NULL
1253,288,2630,39
1262,288,1,NULL
1263,288,372,NULL
1272,288,683,NULL
1278,288,1052,1237
1278,288,1052,24
1278,288,1052,167
1280,288,542,NULL
1283,288,903,8304
1283,288,903,8301
1283,288,903,8308
1283,288,903,1671
1283,288,903,8302
1298,288,548,NULL
1300,288,2398,NULL
1301,288,1786,NULL
1304,288,1066,NULL
1305,288,4842,NULL
1308,288,1169,NULL
1311,288,423,NULL
1318,288,335,NULL
1332,288,1880,NULL
1348,288,121,NULL
1351,288,73,NULL
1356,288,2245,NULL
1365,288,1841,NULL
1368,288,580,NULL
1369,288,87,NULL
1385,288,180,NULL
1388,288,77,NULL
1394,288,1158,NULL
1399,288,278,NULL
1401,288,597,NULL
1410,288,36,NULL
1413,288,2225,NULL
1423,288,657,167
1423,288,657,364
1429,288,1640,NULL
1434,288,699,NULL
1435,288,298,NULL
1437,288,72,24
1437,288,72,632
1445,288,932,346
1445,288,932,130
1445,288,932,208
1445,288,932,167
1445,288,932,662
1445,288,932,24
1445,288,932,39
1445,288,932,234
1446,288,636,NULL
1447,288,857,NULL
1451,288,166,NULL
1453,288,9545,9347
1453,288,9545,781
1453,288,9545,632
1453,288,9545,285
1453,288,9545,230
1453,288,9545,130
1453,288,9545,39
1453,288,9545,831
1453,288,9545,4976
1455,288,1677,130
1455,288,1677,39
1455,288,1677,24
1455,288,1677,102
1455,288,1677,2785
1455,288,1677,216
1455,288,1677,167
1457,288,1509,NULL
1458,288,37,NULL
1461,288,40,102
1461,288,40,39
1461,288,40,24
1462,288,2284,1911
1462,288,2284,2805
1462,288,2284,39
1462,288,2284,9416
1462,288,2284,9424
1465,288,795,NULL
1466,288,620,49
1466,288,620,346
1466,288,620,24
1466,288,620,39
1466,288,620,130
1466,288,620,167
1466,288,620,206
1466,288,620,234
1471,288,330,NULL
1475,288,129,NULL
1476,288,3972,NULL
1478,288,32080,NULL
1485,288,328,9560
1485,288,328,24
1489,288,779,NULL
1492,288,198,NULL
1503,288,244,NULL
1509,288,217,167
1511,288,570,NULL
1515,288,265,9723
1515,288,265,9724
1515,288,265,9722
1516,288,396,24
1516,288,396,9727
1517,288,2871,NULL
1519,288,57,2153
1521,288,2976,NULL
1525,288,63,NULL
1528,288,726,NULL
1532,288,2301,NULL
1533,288,6613,NULL
1540,288,467,NULL
1552,288,1,632
1553,288,344,9745
1553,288,344,167
1553,288,344,130
1553,288,344,24
1555,288,982,NULL
1558,288,54,NULL
1560,288,428,24
1560,288,428,39
1564,288,2513,NULL
1568,288,1438,NULL
1572,288,1747,167
1572,288,1747,24
1572,288,1747,39
1577,288,3906,NULL
1578,288,1872,24
1578,288,1872,167
1580,288,290,127
1590,288,1997,9995
1590,288,1997,9996
1591,288,3576,NULL
1593,288,239,NULL
1600,288,1370,NULL
1605,288,542,24
1605,288,542,18
1605,288,542,39
1605,288,542,167
1605,288,542,130
1606,288,1479,NULL
1607,288,173,NULL
1608,288,50,NULL
1616,288,224,39
1616,288,224,102
1616,288,224,167
1616,288,224,130
1628,288,3296,NULL
1632,288,1327,NULL
1633,288,338,NULL
1636,288,56,NULL
1646,288,1332,NULL
1647,288,335,NULL
1648,288,141,NULL
1649,288,808,NULL
1663,288,222,NULL
1666,288,6633,NULL
1678,288,134,NULL
1683,288,341,NULL
1684,288,41,NULL
1687,288,36970,167
1687,288,36970,130
1687,288,36970,24
1687,288,36970,39
1687,288,36970,102
1690,288,351,NULL
1692,288,359,NULL
1693,288,153,NULL
1699,288,969,109
1699,288,969,238
1699,288,969,167
1699,288,969,39
1715,288,637,NULL
1717,288,2220,NULL
1722,288,302,NULL
1725,288,280,NULL
1726,288,1056,10686
1726,288,1056,632
1726,288,1056,49
1726,288,1056,39
1726,288,1056,989
1726,288,1056,24
1726,288,1056,10687
1730,288,539,102
1730,288,539,167
1730,288,539,130
1730,288,539,24
1730,288,539,39
1734,288,7768,NULL
1736,288,648,NULL
1742,288,1114,NULL
1748,288,262,NULL
1753,288,1521,NULL
1757,288,93,1237
1757,288,93,1084
1757,288,93,1041
1757,288,93,507
1757,288,93,481
1757,288,93,210
1757,288,93,167
1757,288,93,130
1757,288,93,39
1757,288,93,24
1757,288,93,1238
1762,288,339,NULL
1765,288,123,NULL
1766,288,558,NULL
1768,288,280,NULL
1769,288,67,NULL
1771,288,304,39
1773,288,1,NULL
1776,288,198,NULL
1780,288,3169,11005
1780,288,3169,10991
1780,288,3169,11003
1780,288,3169,11004
1786,288,159,NULL
1788,288,1130,NULL
1791,288,1472,NULL
1795,288,411,167
1795,288,411,39
1795,288,411,24
1799,288,823,167
1799,288,823,102
1799,288,823,632
1799,288,823,508
1808,288,1840,NULL
1810,288,27486,24
1810,288,27486,11145
1810,288,27486,208
1811,288,820,NULL
1813,288,2110,NULL
1815,288,318,NULL
1820,288,922,NULL
1821,288,772,11187
1825,288,67,NULL
1826,288,447,NULL
1828,288,991,NULL
1829,288,1161,NULL
1833,288,199,NULL
1834,288,1,NULL
1838,288,237,NULL
1844,288,214,NULL
1846,288,194,789
1850,288,328,NULL
1851,288,71,NULL
1863,288,399,NULL
1869,288,269,39
1869,288,269,311
1871,288,253,24
1871,288,253,167
1873,288,539,NULL
1880,288,3139,NULL
1881,288,354,NULL
1894,288,1362,24
1894,288,1362,167
1895,288,2247,39
1895,288,2247,1357
1895,288,2247,311
1895,288,2247,205
1895,288,2247,24
1899,288,234,NULL
1902,288,417,NULL
1903,288,392,NULL
1908,288,154,NULL
1917,288,21,NULL
1918,288,19,NULL
1921,288,1620,NULL
1924,288,2706,NULL
1946,288,684,NULL
1954,288,238,NULL
1959,288,398,NULL
1961,288,2922,NULL
1963,288,582,167
1963,288,582,18
1963,288,582,130
1963,288,582,102
1963,288,582,304
1963,288,582,238
1963,288,582,231
1963,288,582,228
1963,288,582,200
1963,288,582,632
1963,288,582,24
1963,288,582,39
1963,288,582,483
1963,288,582,49
1963,288,582,73
1965,288,326,NULL
1973,288,1268,NULL
1979,288,491,NULL
1983,288,365,NULL
1988,288,442,NULL
2000,288,24774,NULL
2018,288,177,12251
2020,288,472,NULL
2021,288,2937,12298
2021,288,2937,12287
2021,288,2937,719
2021,288,2937,4855
2023,288,21,NULL
2031,288,8767,NULL
2033,288,8887,24
2037,288,1129,NULL
2038,288,1485,NULL
2054,288,702,NULL
2058,288,91,NULL
2059,288,3025,NULL
2061,288,995,130
2065,288,1303,NULL
2072,288,1767,NULL
2075,288,105,NULL
2079,288,210,NULL
2087,288,725,167
2087,288,725,130
2088,288,14,NULL
7,289,11112,NULL
8,289,2258,NULL
11,289,3851,NULL
17,289,118,NULL
21,289,4620,349
21,289,4620,200
21,289,4620,24
21,289,4620,39
21,289,4620,73
21,289,4620,79
21,289,4620,127
21,289,4620,203
21,289,4620,130
21,289,4620,374
21,289,4620,346
21,289,4620,347
21,289,4620,348
21,289,4620,372
21,289,4620,367
21,289,4620,364
21,289,4620,362
21,289,4620,359
21,289,4620,354
21,289,4620,353
21,289,4620,350
24,289,1192,NULL
25,289,1623,24
25,289,1623,209
29,289,79,NULL
30,289,1231,NULL
31,289,395,199
31,289,395,507
31,289,395,499
31,289,395,352
31,289,395,285
31,289,395,210
31,289,395,39
31,289,395,24
31,289,395,18
42,289,197,NULL
45,289,548,NULL
46,289,1016,NULL
47,289,12197,686
47,289,12197,202
47,289,12197,349
47,289,12197,636
48,289,23,NULL
49,289,137,24
49,289,137,719
49,289,137,238
49,289,137,130
49,289,137,39
53,289,267,636
54,289,16391,24
54,289,16391,209
54,289,16391,346
54,289,16391,754
57,289,53,NULL
58,289,4474,771
58,289,4474,772
58,289,4474,773
58,289,4474,776
58,289,4474,777
58,289,4474,778
58,289,4474,782
58,289,4474,785
58,289,4474,786
58,289,4474,789
58,289,4474,790
58,289,4474,24
58,289,4474,39
58,289,4474,73
58,289,4474,130
58,289,4474,209
58,289,4474,234
